"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"1","9/15/2025","Aggravated assault","Outside","Firearm","Male","28","White","Hispanic or Latino","300 N CALVERT ST","Central","Downtown",39.292437,-76.612612,"Street","7:00","p.m."
"2","9/15/2025","Aggravated assault","Inside","Motor vehicle vessel","Female","None reported","Black or African American","Not Hispanic or Latino","2500 LIBERTY HEIGHTS AVE","Northwest","Parkway",39.319727,-76.657961,"Other/residential","3:20","p.m."
"3","9/15/2025","Aggravated assault","Inside","Unknown","Male","28","Black or African American","Not Hispanic or Latino","1900 RAMBLEWOOD RD","Northeast","Loch Raven",39.358689,-76.578952,"Other/residential","4:42","p.m."
"4","9/15/2025","Aggravated assault","Inside","Personal weapons","Female","40","None reported","Unknown","6600 HOLABIRD AVE","Southeast","Broening Manor",39.272826,-76.533158,"Restaurant","12:49","p.m."
"5","9/15/2025","Aggravated assault","Inside","Personal weapons","Female","32","Black or African American","Unknown","1500 N DECKER AVE","Eastern","Berea",39.308586,-76.575083,"Other/residential","9:00","p.m."
"6","9/15/2025","Aggravated assault","Outside","Knife/cutting instrument","Male","11","Black or African American","Not Hispanic or Latino","100 N VINCENT ST","Southwest","Franklin Square",39.290325,-76.643324,"Street","9:00","p.m."
"7","9/15/2025","Aggravated assault","Inside","Personal weapons","Female","25","Black or African American","Not Hispanic or Latino","300 W FAYETTE ST","Central","Downtown",39.290316,-76.619886,"Other/residential","1:00","p.m."
"8","9/15/2025","Aggravated assault","Outside","Personal weapons","Male","None reported","Black or African American","Not Hispanic or Latino","3500 DOLFIELD AVE","Northwest","Ashburton",39.334793,-76.674593,"Street","6:00","a.m."
"9","9/15/2025","Aggravated assault","Outside","Blunt object","Male","56","Black or African American","Not Hispanic or Latino","3400 CLIFTON AVE","Northwest","Mount Holly",39.311029,-76.674316,"Street","5:00","p.m."
"10","10/7/2025","Aggravated assault","Inside","Other","Male","39","Black or African American","Not Hispanic or Latino","4000 BONNER RD","Northwest","Concerned Citizens Of Forest Park",39.322188,-76.685597,"Other/residential","2:25","a.m."
"11","10/7/2025","Aggravated assault","Inside","Firearm","Female","23","Black or African American","Not Hispanic or Latino","2100 ASHBURTON ST","Western","Panway/Braddish Avenue",39.312053,-76.662127,"Other/residential","2:45","a.m."
"12","10/7/2025","Aggravated assault","Inside","Personal weapons","Female","33","Black or African American","Unknown","2800 ROSELAWN AVE","Northeast","Hamilton Hills",39.35843,-76.561345,"Other/residential","5:30","a.m."
