"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"1","7/5/2025","Arson","Inside","None reported","Male","33","None reported","Unknown","3000 W GARRISON AVE","Northern","Central Park Heights",39.348178,-76.671887,"Other/residential","10:20","a.m."
"2","7/5/2025","Arson","Inside","None reported","Female","36","Black or African American","Not Hispanic or Latino","3000 W GARRISON AVE","Northern","Central Park Heights",39.348178,-76.671887,"Other/residential","10:20","a.m."
"3","6/27/2025","Arson","Inside","None reported","Unknown","None reported","None reported","Unknown","4400 CRADDOCK AVE","Northern","Wilson Park",39.343565,-76.602136,"Other/residential","8:30","a.m."
"4","6/28/2025","Arson","Inside","None reported","Female","44","Black or African American","Unknown","1500 APPLETON ST","Western","Easterwood",39.305854,-76.649033,"Other/residential","5:00","p.m."
"5","6/28/2025","Arson","Outside","None reported","Male","65","Black or African American","Unknown","300 S CALHOUN ST","Southwest","Mount Clare",39.284033,-76.639465,"Mini storage lockers","6:10","p.m."
"6","6/30/2025","Arson","Outside","None reported","Male","22","None reported","Hispanic or Latino","6400 O'DONNELL ST","Southeast","Graceland Park",39.281703,-76.538136,"Street","3:06","a.m."
"7","7/2/2025","Arson","Inside","None reported","Male","20","Black or African American","Not Hispanic or Latino","300 E 25TH ST","Eastern","Barclay",39.317826,-76.612653,"Other/residential","6:40","p.m."
"8","6/20/2025","Arson","Outside","None reported","None reported","None reported","None reported","None Reported","3700 EASTERN AVE","Southeast","Highlandtown",39.286811,-76.566343,"Street","7:11","a.m."
"9","6/21/2025","Arson","Outside","None reported","Male","53","Unknown","Hispanic or Latino","1600 BANK ST","Central","Fells Point",39.2864,-76.594713,"Street","4:01","a.m."
"10","6/21/2025","Arson","Outside","None reported","Female","30","None reported","Unknown","1600 BANK ST","Central","Fells Point",39.286408,-76.594371,"Street","4:01","a.m."
