"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"1","4/6/2025","Auto theft","Outside",NA,"Female","57","Native Hawaiian or other Pacific Islander","Hispanic or Latino","3800 DOLFIELD AVE","Northwest","Dolfield",39.339204,-76.680351,"Street","9:00:00",""
"2","3/25/2025","Auto theft","Outside",NA,"Male","59","Black or African American","Not Hispanic or Latino","1500 E 36TH ST","Northeast","Ednor Gardens-Lakeside",39.332272,-76.594112,"Street","4:45:00",""
"3","3/24/2025","Auto theft","Inside",NA,"Male","28","White","Not Hispanic or Latino","1400 W COLD SPRING LN","Northern","Cross Keys",39.344826,-76.642327,"School","1:00:00",""
"4","3/25/2025","Auto theft","Outside",NA,"Male","41","Black or African American","Unknown","2400 BRIDGEHAMPTON DR","Northeast","Hamilton Hills",39.370735,-76.565056,"Street","3:00:00",""
"5","4/3/2025","Auto theft","Outside",NA,"Unknown","None reported","None reported","Unknown","1800 WHETSTONE WAY","Southern","Locust Point",39.268299,-76.600005,"Shed/garage","7:30:00",""
"6","4/4/2025","Auto theft","Outside",NA,"Male","36","Black or African American","Unknown","1000 GRANBY ST","Central","Jonestown",39.288676,-76.601905,"Street","12:00:00",""
"7","4/3/2025","Auto theft","Inside",NA,"Male","40","Black or African American","Not Hispanic or Latino","3800 BARTWOOD RD","Northwest","Glen",39.358859,-76.700634,"Other/residential","12:00:00",""
"8","4/3/2025","Auto theft","Outside",NA,"Female","69","White","Not Hispanic or Latino","3900 COLCHESTER RD","Southern","Oaklee",39.26656,-76.685157,"Street","11:25:00",""
"9","4/4/2025","Auto theft","Outside",NA,"Male","38","None reported","Unknown","2000 MOUNT ROYAL TER","Western","Reservoir Hill",39.312089,-76.626579,"Street","12:00:00",""
"10","3/30/2025","Auto theft","Outside",NA,"Male","35","Black or African American","Not Hispanic or Latino","2600 E PRESTON ST","Eastern","Berea",39.305867,-76.580188,"Street","12:00:00",""
"11","3/27/2025","Auto theft","Inside",NA,"Female","55","None reported","Unknown","1800 SOUTH RD","Northwest","Mount Washington",39.36449,-76.65593,"Other/residential","1:00:00",""
"12","3/27/2025","Auto theft","Outside",NA,"Male","46","White","Not Hispanic or Latino","400 AISQUITH ST","Central","Oldtown",39.295155,-76.601831,"Street","3:00:00",""
"13","3/26/2025","Auto theft","Outside",NA,"Male","76","Black or African American","Not Hispanic or Latino","1900 N PATTERSON PARK AVE","Eastern","South Clifton Park",39.312592,-76.586055,"Street","11:35:00",""
"14","3/26/2025","Auto theft","Outside",NA,"Male","63","White","Not Hispanic or Latino","4100 PENNINGTON AVE","Southern","Curtis Bay",39.228289,-76.588666,"Gas station","10:11:00",""
"15","3/27/2025","Auto theft","Outside",NA,"Male","47","Black or African American","Not Hispanic or Latino","1000 N WASHINGTON ST","Southeast","Middle East",39.302173,-76.589889,"Street","1:15:00",""
"16","3/28/2025","Auto theft","Outside",NA,"Male","45","Black or African American","Not Hispanic or Latino","4100 NORFOLK AVE","Northwest","West Forest Park",39.323397,-76.68721,"Street","5:40:00",""
"17","4/5/2025","Auto theft","Outside",NA,"Male","23","White","Not Hispanic or Latino","2100 ASHTON ST","Southwest","Carrollton Ridge",39.2824,-76.649827,"Street","12:00:00",""
"18","4/6/2025","Auto theft","Inside",NA,"Male","45","Black or African American","Not Hispanic or Latino","4100 HAYWARD AVE","Northwest","Woodmere",39.344139,-76.687638,"Office building","1:00:00",""
"19","4/6/2025","Auto theft","Outside",NA,"Male","28","White","Hispanic or Latino","3300 CLARKS LN","Northwest","Cross Country",39.366388,-76.696061,"Shed/garage","3:00:00",""
"20","4/5/2025","Auto theft","Outside",NA,"Female","36","Black or African American","Not Hispanic or Latino","5500 CADILLAC AVE","Northwest","Grove Park",39.337605,-76.701582,"Shed/garage","11:30:00",""
"21","4/5/2025","Auto theft","Outside",NA,"Female","49","Black or African American","Unknown","3900 MORTIMER AVE","Northwest","Glen",39.350919,-76.690245,"Shed/garage","10:00:00",""
"22","4/5/2025","Auto theft","Outside",NA,"Male","34","Black or African American","Not Hispanic or Latino","5400 MOORES RUN DR","Northeast","Cedonia",39.33356,-76.536105,"Street","7:30:00",""
"23","4/5/2025","Auto theft","Outside",NA,"Male","54","Black or African American","Not Hispanic or Latino","5100 GOODNOW RD","Northeast","Frankford",39.326345,-76.545554,"Shed/garage","6:30:00",""
"24","4/6/2025","Auto theft","Inside",NA,"Female","66","White","Unknown","6500 EASTERN AVE","Southeast","Pulaski Industrial Area",39.286732,-76.535562,"Hotel/motel","10:30:00",""
"25","3/24/2025","Auto theft","Inside",NA,"Male","56","Black or African American","Not Hispanic or Latino","1700 WINDEMERE AVE","Northeast","Ednor Gardens-Lakeside",39.330055,-76.591967,"Other/residential","8:55:00",""
"26","4/3/2025","Auto theft","Outside",NA,"Unknown","26","Unknown","Hispanic or Latino","6900 GOUGH ST","Southeast","Eastwood",39.290673,-76.530669,"Street","6:05:00",""
"27","4/4/2025","Auto theft","Inside",NA,"Male","35","Black or African American","Not Hispanic or Latino","3100 LAWNVIEW AVE","Eastern","Belair-Edison",39.32012,-76.575314,"Other/residential","12:00:00",""
"28","3/24/2025","Auto theft","Outside",NA,"Male","49","Black or African American","Unknown","1000 WOODSON RD","Northeast","Lake Walker",39.370371,-76.60058,"Street","11:00:00",""
"29","3/30/2025","Auto theft","Outside",NA,"Male","40","White","Unknown","100 ROCHESTER PL","Southeast","Patterson Park Neighborhood",39.290906,-76.574026,"Street","8:00:00",""
"30","3/31/2025","Auto theft","Outside",NA,"Female","41","Black or African American","Not Hispanic or Latino","20 E 22ND ST","Eastern","Charles North",39.314204,-76.61605,"Street","1:38:00",""
"31","3/30/2025","Auto theft","Inside",NA,"Male","37","Unknown","Hispanic or Latino","2100 WILKENS AVE","Southwest","Carrollton Ridge",39.28109,-76.649866,"Other/residential","7:40:00",""
"32","3/31/2025","Auto theft","Outside",NA,NA,"None reported","None reported",NA,"3800 CLARKS LN","Northwest","Fallstaff",39.360403,-76.702412,"Street","2:30:00",""
"33","3/29/2025","Auto theft","Inside",NA,"Male","65","Black or African American","Unknown","400 N CHAPELGATE LN","Southwest","Ten Hills",39.28804,-76.701363,"Other/residential","12:05:00",""
"34","3/28/2025","Auto theft","Outside",NA,"Male","28","Black or African American","Not Hispanic or Latino","2400 BARCLAY ST","Eastern","Barclay",39.316974,-76.611371,"Street","7:32:00",""
"35","3/28/2025","Auto theft","Outside",NA,"Female","29","Black or African American","Not Hispanic or Latino","2400 BARCLAY ST","Eastern","Barclay",39.316974,-76.611371,"Street","7:32:00",""
"36","3/28/2025","Auto theft","Outside",NA,"Female","86","Black or African American","Not Hispanic or Latino","2700 MCELDERRY ST","Southeast","Mcelderry Park",39.29791,-76.57932,"Street","8:00:00",""
"37","3/25/2025","Auto theft","Inside",NA,"Male","25","White","Not Hispanic or Latino","500 STAMFORD RD","Southwest","Ten Hills",39.287297,-76.70517,"Other/residential","2:00:00",""
"38","3/24/2025","Auto theft","Outside",NA,"Female","29","Black or African American","Not Hispanic or Latino","500 MOUNT HOLLY ST","Southwest","Allendale",39.293193,-76.679517,"Street","12:00:00",""
"39","4/2/2025","Auto theft","Outside",NA,"Male","33","Black or African American","Not Hispanic or Latino","2400 E OLIVER ST","Eastern","Broadway East",39.307951,-76.58421,"Street","6:00:00",""
"40","4/3/2025","Auto theft","Outside",NA,"Male","26","Black or African American","Not Hispanic or Latino","600 GEORGE ST","Central","Seton Hill",39.295517,-76.6252,"Shed/garage","2:12:00",""
"41","3/24/2025","Auto theft","Outside",NA,"Male","63","White","Not Hispanic or Latino","3900 ROSECREST AVE","Northwest","Glen",39.355116,-76.695968,"Street","2:55:00",""
"42","3/24/2025","Auto theft","Inside",NA,"Male","21","White","Hispanic or Latino","2600 S PACA ST","Southern","Mount Winans",39.261559,-76.647049,"Other/residential","8:00:00",""
"43","3/31/2025","Auto theft","Outside",NA,"Male","32","White","Not Hispanic or Latino","5000 WRIGHT AVE","Eastern","Armistead Gardens",39.305668,-76.55549,"Street","2:52:00",""
"44","3/30/2025","Auto theft","Outside",NA,"Male","53","Black or African American","Not Hispanic or Latino","1600 POPLAND ST","Southern","Curtis Bay",39.229168,-76.58875,"Street","11:26:00",""
"45","4/4/2025","Auto theft","Inside",NA,"Female","24","Black or African American","Not Hispanic or Latino","3600 COPLEY RD","Northwest","Ashburton",39.328766,-76.676198,"Other/residential","3:00:00",""
"46","4/2/2025","Auto theft","Outside",NA,"Male","46","Black or African American","Not Hispanic or Latino","2300 WICHITA AVE","Northern","Liberty Square",39.322662,-76.655767,"Street","11:30:00",""
"47","4/3/2025","Auto theft","Outside",NA,"Male","38","Asian","Unknown","400 JOPLIN ST","Southeast","Bayview",39.288953,-76.53811,"Street","12:00:00",""
"48","3/24/2025","Auto theft","Outside",NA,"Male","65","White","Not Hispanic or Latino","400 S BENTALOU ST","Southwest","Millhill",39.282659,-76.652632,"Street","7:15:00",""
"49","4/1/2025","Auto theft","Outside",NA,"Male","26","Black or African American","Not Hispanic or Latino","400 E PRATT ST","Central","Inner Harbor",39.286706,-76.609924,"Shed/garage","1:00:00",""
"50","4/1/2025","Auto theft","Outside",NA,"Male","34","None reported","Unknown","2400 S PACA ST","Southern","Mount Winans",39.26377,-76.644236,"Street","7:45:00",""
"51","4/5/2025","Auto theft","Outside",NA,"Female","29","Black or African American","Unknown","1800 FLEET ST","Central","Fells Point",39.2847,-76.591257,"Street","4:01:00",""
"52","4/6/2025","Auto theft","Outside",NA,"Female","78","Black or African American","Not Hispanic or Latino","4300 ELDERON AVE","Northwest","West Arlington",39.341814,-76.691843,"Street","12:00:00",""
"53","4/5/2025","Auto theft","Outside",NA,"Male","21","Black or African American","Not Hispanic or Latino","5900 RADECKE AVE","Northeast","Cedonia",39.330706,-76.531744,"Shed/garage","3:00:00",""
"54","4/5/2025","Auto theft","Inside",NA,"Male","27","Black or African American","Not Hispanic or Latino","1500 E FEDERAL ST","Eastern","Oliver",39.308463,-76.598185,"Unknown","9:00:00",""
"55","4/5/2025","Auto theft","Outside",NA,"Female","33","Unknown","Hispanic or Latino","6300 BROWN AVE","Southeast","Broening Manor",39.273919,-76.53771,"Street","3:02:00",""
