"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"1","10/23/2025","Homicide","Outside","Firearm","Male","42","Black or African American","Not Hispanic or Latino","4100 HYDEN CT","Southern","Brooklyn",39.228339,-76.597679,"Street","2:26","p.m."
"2","10/25/2025","Homicide","Outside","Firearm","Male","22","Black or African American","Unknown","3200 REISTERSTOWN RD","Northern","Liberty Square",39.323648,-76.656756,"Street","9:24","p.m."
"3","10/21/2025","Homicide","Outside","Handgun","Male","35","Black or African American","Not Hispanic or Latino","1000 CAMERON RD","Northeast","Cameron Village",39.356333,-76.599941,"Street","2:27","a.m."
"4","11/11/2025","Homicide","Outside","Handgun","Male","20","Black or African American","Unknown","2900 RUECKERT AVE","Northeast","Lauraville",39.349039,-76.56636,"Street","6:20","p.m."
"5","11/14/2025","Homicide","Outside","Handgun","Male","37","Black or African American","Unknown","1100 MARSHALL ST","Southern","Federal Hill",39.276657,-76.61305,"Street","2:53","a.m."
"6","11/15/2025","Homicide","Outside","Firearm","Male","33","Black or African American","Unknown","1900 GREENMOUNT AVE","Eastern","Barclay",39.311461,-76.609536,"Street","4:40","p.m."
"7","11/4/2025","Homicide","Outside","Firearm","Male","29","Black or African American","Not Hispanic or Latino","1500 E LANVALE ST","Eastern","Oliver",39.309625,-76.597832,"Street","10:45","p.m."
"8","11/5/2025","Homicide","Outside","Handgun","Male","36","Black or African American","Unknown","200 N MOUNT ST","Southwest","Franklin Square",39.290721,-76.644005,"Street","8:45","p.m."
"9","11/6/2025","Homicide","Outside","Firearm","Male","25","Black or African American","Unknown","4200 N ROGERS AVE","Northwest","Grove Park",39.340798,-76.697292,"Street","12:24","a.m."
"10","11/8/2025","Homicide","Outside","Firearm","Male","33","Black or African American","Unknown","3100 W NORTH AVE","Northwest","Walbrook",39.309227,-76.669517,"Street","4:07","a.m."
"11","10/29/2025","Homicide","Outside","Handgun","Male","37","Black or African American","Unknown","100 N CONKLING ST","Southeast","Baltimore Highlands",39.29373,-76.567698,"Street","2:23","a.m."
"12","11/2/2025","Homicide","Outside","Handgun","Male","32","Black or African American","Not Hispanic or Latino","300 W LEXINGTON ST","Central","Downtown",39.2917,-76.620038,"Street","5:35","a.m."
