"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"1","4/12/2025","Larceny","Inside",NA,"Female","60","White","Not Hispanic or Latino","1600 MCHENRY ST","Southwest","Mount Clare",39.284428,-76.64327,"Other/residential","6:30","p.m."
"2","4/12/2025","Larceny","Inside",NA,"Female","64","Black or African American","Not Hispanic or Latino","2100 HOMEWOOD AVE","Eastern","East Baltimore Midway",39.314319,-76.607217,"Other/residential","4:00","a.m."
"3","4/12/2025","Larceny","Inside",NA,"Female","24","None reported","Unknown","300 N CHARLES ST","Central","Downtown",39.293196,-76.615458,"Restaurant","11:00","p.m."
"4","4/12/2025","Larceny","Inside",NA,"Female","19","Black or African American","Not Hispanic or Latino","20 E CROSS ST","Southern","Federal Hill",39.276987,-76.61338,"Tavern/night club","4:00","a.m."
"5","4/12/2025","Larceny","Inside",NA,"Male","19","Black or African American","Not Hispanic or Latino","1500 E BIDDLE ST","Central","Gay Street",39.304135,-76.597127,"Other/residential","6:12","p.m."
"6","4/12/2025","Larceny","Inside",NA,"Female","24","Black or African American","Unknown","2300 SAINT PAUL ST","Eastern","Barclay",39.315528,-76.615163,"Other/residential","4:10","a.m."
"7","4/12/2025","Shoplifting","Inside",NA,NA,"None reported","None reported",NA,"3300 W BALTIMORE ST","Southwest","Saint Josephs",39.285862,-76.672393,"Convenience store","10:00","a.m."
"8","4/12/2025","Larceny from auto","Outside",NA,"Female","74","None reported","Unknown","2200 FLEET ST","Southeast","Canton",39.284968,-76.584652,"Street","5:10","a.m."
"9","4/12/2025","Larceny","Inside",NA,"Female","71","White","Unknown","6800 BANK ST","Southeast","Eastwood",39.288951,-76.531196,"Other/residential","4:59","p.m."
"10","4/8/2025","Shoplifting","Inside",NA,NA,"None reported","None reported",NA,"400 E PRATT ST","Central","Inner Harbor",39.286706,-76.609924,"Wholesaler/store","2:10","p.m."
