"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"1","5/25/2025","Rape","Inside","Personal weapons","Female","26","Black or African American","Not Hispanic or Latino","2700 KEYWORTH AVE","Northern","Central Park Heights",39.333021,-76.662797,"Other/residential","4:00","a.m."
"2","5/23/2025","Rape","Outside","Knife/cutting instrument","Female","15","Black or African American","Not Hispanic or Latino","3600 PLATEAU AVE","Northwest","Howard Park",39.333681,-76.698867,"Street","9:00","p.m."
"3","5/21/2025","Rape","Inside",NA,"Female","11","Black or African American","Unknown","5600 KAVON AVE","Northeast","Frankford",39.340826,-76.545472,"Other/residential","5:14","p.m."
"4","5/20/2025","Rape","Inside","Personal weapons","Female","12","Black or African American","Not Hispanic or Latino","1000 CAMERON RD","Northeast","Cameron Village",39.356165,-76.599529,"Other/residential","11:30","p.m."
"5","5/22/2025","Rape","Inside","Personal weapons","Female","19","White","Not Hispanic or Latino","6000 MARLUTH AVE","Northeast","Cedmont",39.346577,-76.535199,"Other/residential","5:30","p.m."
"6","6/9/2025","Rape","Inside","Personal weapons","Female","37","White","Unknown","6400 PULASKI HWY","Southeast","Pulaski Industrial Area",39.303604,-76.540868,"Hotel/motel","10:20","p.m."
"7","6/9/2025","Rape","Inside","None reported","Female","15","Black or African American","Unknown","3900 CHESTERFIELD AVE","Eastern","Belair-Edison",39.316404,-76.562463,"Other/residential","11:30","p.m."
"8","6/10/2025","Rape","Inside","Personal weapons","Female","52","Black or African American","Not Hispanic or Latino","900 N LUZERNE AVE","Southeast","Madison-Eastend",39.301318,-76.58084,"Other/residential","9:30","a.m."
"9","6/11/2025","Rape","Outside","Personal weapons","Female","16","Black or African American","Unknown","1700 LAKESIDE AVE","Northeast","Ednor Gardens-Lakeside",39.32913,-76.591832,"Street","4:38","a.m."
"10","6/2/2025","Rape","Outside","Personal weapons","Female","61","White","Unknown","3800 EASTERN AVE","Southeast","Highlandtown",39.28685,-76.564927,"Street","6:00","a.m."
"11","6/6/2025","Rape","Inside","Personal weapons","Female","17","Black or African American","Not Hispanic or Latino","100 N DALLAS ST","Central","Washington Hill",39.292394,-76.596622,"Other/residential","12:30","a.m."
"12","6/6/2025","Rape","Inside","Personal weapons","Female","28","Black or African American","Not Hispanic or Latino","2100 WESTERN RUN DR","Northwest","Mount Washington",39.368211,-76.664888,"Other/residential","4:20","a.m."
"13","6/6/2025","Rape","Inside","Personal weapons","Female","14","Black or African American","Unknown","1500 N CALVERT ST","Eastern","Greenmount West",39.307425,-76.612979,"Unknown","8:53","p.m."
"14","5/26/2025","Rape","Inside","None reported","Female","36","Black or African American","Unknown","","Southwest","Penrose/Fayette Street Outreach",39.289283,-76.649696,"Drug store / med  bldg","10:00","p.m."
"15","5/29/2025","Rape","Inside","None reported","Female","17","Native Hawaiian or other Pacific Islander","Not Hispanic or Latino","800 N WOLFE ST","Southeast","Middle East",39.299914,-76.59118,"Hotel/motel","4:00","a.m."
"16","5/29/2025","Rape","Inside","Personal weapons","Female","39","Black or African American","Not Hispanic or Latino","3700 FAIRHAVEN AVE","Southern","Curtis Bay",39.231148,-76.590777,"Other/residential","12:01","p.m."
"17","5/30/2025","Rape","Inside","Personal weapons","Female","16","Black or African American","Not Hispanic or Latino","400 CUMMINGS CT","Western","Upton",39.300933,-76.625091,"Other/residential","6:00","a.m."
