"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"1","4/13/2025","Robbery - carjacking","Outside","Handgun","Male","49","Black or African American","Hispanic or Latino","1800 EDMONDSON AVE","Western","Harlem Park",39.295255,-76.645637,"Street","1:40","a.m."
"2","4/13/2025","Robbery - carjacking","Outside","Handgun","Male","54","Black or African American","Hispanic or Latino","1800 EDMONDSON AVE","Western","Harlem Park",39.295255,-76.645637,"Street","1:40","a.m."
"3","4/12/2025","Robbery - carjacking","Outside","Knife/cutting instrument","Female","24","Black or African American","Unknown","500 N KENWOOD AVE","Southeast","Mcelderry Park",39.297238,-76.578017,"Street","8:16","a.m."
"4","4/12/2025","Robbery - commercial","Inside","Knife/cutting instrument",NA,"None reported","None reported",NA,"2700 W FRANKLIN ST","Southwest","Penrose/Fayette Street Outreach",39.293064,-76.661471,"Convenience store","2:14","p.m."
"5","4/13/2025","Robbery","Outside","Personal weapons","Female","24","Black or African American","Not Hispanic or Latino","1300 DRUID HILL AVE","Western","Upton",39.302318,-76.629049,"Street","8:28","p.m."
"6","4/12/2025","Robbery","Inside","Personal weapons","Female","25","Black or African American","Unknown","4400 MORAVIA RD","Northeast","Frankford",39.328877,-76.558293,"Other/residential","2:20","p.m."
"7","4/13/2025","Robbery","Inside","Personal weapons","Female","22","Black or African American","Unknown","2400 LIBERTY HEIGHTS AVE","Western","Mondawmin",39.31865,-76.653993,"Office building","7:14","p.m."
"8","4/13/2025","Robbery - commercial","Inside","Personal weapons",NA,"None reported","None reported",NA,"2400 LIBERTY HEIGHTS AVE","Western","Mondawmin",39.31865,-76.653993,"Office building","7:14","p.m."
"9","4/11/2025","Robbery","Inside","Personal weapons","Female","52","Black or African American","Not Hispanic or Latino","1500 RICHLAND ST","Western","Penn North",39.313262,-76.645435,"Other/residential","4:05","p.m."
"10","4/11/2025","Robbery","Outside","Knife/cutting instrument","Male","54","None reported","Hispanic or Latino","1200 CHURCH ST","Southern","Curtis Bay",39.222632,-76.593328,"Street","5:00","p.m."
"11","4/13/2025","Robbery","Outside","Personal weapons","Male","35","Black or African American","Not Hispanic or Latino","200 E REDWOOD ST","Central","Downtown",39.288953,-76.61217,"Street","7:00","a.m."
"12","4/13/2025","Robbery - carjacking","Outside","Handgun","Male","50","Black or African American","Not Hispanic or Latino","400 W MULBERRY ST","Central","Downtown",39.29378,-76.62204,"Gas station","7:03","a.m."
"13","4/13/2025","Robbery","Inside","Personal weapons","Male","15","White","Hispanic or Latino","200 KEY HWY","Central","Federal Hill",39.280622,-76.611172,"Unknown","10:20","p.m."
"14","4/10/2025","Robbery - carjacking","Outside","Personal weapons","Male","None reported","White","Hispanic or Latino","1000 WOODSON RD","Northeast","Lake Walker",39.371428,-76.602263,"Street","3:30","a.m."
"15","4/12/2025","Robbery","Inside","Personal weapons","Male","46","White","Unknown","2700 W FRANKLIN ST","Southwest","Penrose/Fayette Street Outreach",39.293064,-76.661471,"Convenience store","2:14","p.m."
"16","4/10/2025","Robbery","Inside","Handgun","Male","35","None reported","Hispanic or Latino","900 EASTERN AVE","Central","Little Italy",39.28531,-76.601099,"Other/residential","4:55","p.m."
