age,Percentage of deaths,Percentage of population
Age 0-9,0.10256963938674152,11.956328491757859
Age 10-19,0.11336644353271431,12.531234488195619
Age 20-29,0.49665299071474844,13.125865822283792
Age 30-39,1.3873893327575038,13.523114007909601
Age 40-49,3.3686028935435113,11.981098714284325
Age 50-59,8.16238393435543,13.378840033351395
Age 60-69,16.5083135391924,12.044038114024131
Age 70-79,24.71388469013172,7.559670768541979
Age 80+,45.13603973223926,3.899809559651303
Unknown,0.010796804145972793,NA
