"row_id","cc_number","crime_date","description","inside_outside","weapon","shooting","post","gender","age","race","ethnicity","location","old_district","new_district","neighborhood","latitude","longitude","premise_type","total_incidents","display_time"
67623,"260902485",2026-09-06,"LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES","O",NA,NA,"814","F",77,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","200 S AUGUSTA AVE","N/A","SOUTHWEST","IRVINGTON",39.281949,-76.684944,"STREET",1,"09:30 PM"
67624,"260902249",2026-09-07,"AGG. ASSAULT","I","PERSONAL_WEAPONS",NA,"815","F",23,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","500 LUCIA AVE","N/A","SOUTHWEST","YALE HEIGHTS",39.275277,-76.691961,"OTHER/RESIDENTIAL",1,"03:30 AM"
67625,"260902263",2026-09-07,"LARCENY FROM AUTO","O",NA,NA,"126","F",42,"AMERICAN_INDIAN_OR_ALASKA_NATIVE","NOT_HISPANIC_OR_LATINO","700 ALICEANNA ST","N/A","CENTRAL","HARBOR EAST",39.283174,-76.602202,"SHED/GARAGE",1,"01:00 AM"
67675,"260902263",2026-09-07,"VANDALISM","O",NA,NA,"126","F",42,"AMERICAN_INDIAN_OR_ALASKA_NATIVE","NOT_HISPANIC_OR_LATINO","700 ALICEANNA ST","N/A","CENTRAL","HARBOR EAST",39.283174,-76.602202,"SHED/GARAGE",1,"01:00 AM"
67676,"260902248",2026-09-07,"VANDALISM","I",NA,NA,"421",NA,NA,NA,NA,"4300 BELAIR RD","N/A","NORTHEAST","BELAIR-EDISON",39.328844,-76.564225,"LIQUOR STORE",1,"03:41 AM"
67677,"260902087",2026-09-06,"COMMON ASSAULT","I","PERSONAL_WEAPONS",NA,"226","F",60,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","700 N BELNORD AVE","N/A","SOUTHEAST","MADISON-EASTEND",39.299542,-76.578961,"OTHER/RESIDENTIAL",1,"06:25 PM"
67678,"260902337",2026-09-07,"VANDALISM","O",NA,NA,"611","F",68,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","4700 WAKEFIELD RD","N/A","NORTHWEST","WEST FOREST PARK",39.319663,-76.697192,"SHED/GARAGE",1,"02:00 AM"
67679,"260902337",2026-09-07,"VANDALISM","O",NA,NA,"611","M",37,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","4700 WAKEFIELD RD","N/A","NORTHWEST","WEST FOREST PARK",39.319663,-76.697192,"SHED/GARAGE",1,"02:00 AM"
67680,"260902341",2026-09-06,"LARCENY","I",NA,NA,"111","M",35,"WHITE","UNKNOWN","10 LIGHT ST","N/A","CENTRAL","DOWNTOWN",39.289209,-76.613982,"OFFICE BUILDING",1,"04:45 PM"
67681,"260902142",2026-09-06,"AUTO THEFT","I",NA,NA,"823","M",NA,"BLACK_OR_AFRICAN_AMERICAN","NOT_HISPANIC_OR_LATINO","1300 W LOMBARD ST","N/A","SOUTHWEST","UNION SQUARE",39.2867,-76.63842,"OTHER/RESIDENTIAL",1,"07:30 PM"
