"","neighborhood","Violent 6/17-6/30","Violent 6/3-6/16","Property 6/17-6/30","Property 6/3-6/16"
"1","ABELL",0,0,3,4
"2","ALLENDALE",0,0,1,4
"3","ARLINGTON",2,0,1,1
"4","ARMISTEAD GARDENS",0,0,2,5
"5","ASHBURTON",0,0,2,5
"6","AUCHENTOROLY-PARKWOOD",1,5,4,7
"7","BALTIMORE HIGHLANDS",3,5,8,11
"8","BALTIMORE PENINSULA",0,0,2,1
"9","BARCLAY",0,1,4,2
"10","BAYVIEW",5,1,2,1
"11","BEECHFIELD",0,1,1,1
"12","BELAIR-EDISON",4,9,17,16
"13","BELVEDERE",3,1,1,1
"14","BEREA",0,1,4,3
"15","BETTER WAVERLY",8,2,7,13
"16","BEVERLY HILLS",0,1,1,1
"17","BIDDLE STREET",0,2,3,2
"18","BOLTON HILL",1,0,5,10
"19","BOYD-BOOTH",1,0,0,1
"20","BREWERS HILL",0,2,13,6
"21","BRIDGEVIEW/GREENLAWN",1,0,2,4
"22","BROADWAY EAST",10,2,7,2
"23","BROENING MANOR",1,0,2,5
"24","BROOKLYN",9,9,15,13
"25","BUTCHERS HILL",0,0,2,4
"26","CALLAWAY-GARRISON",1,0,0,3
"27","CAMERON VILLAGE",2,3,0,0
"28","CANTON",2,3,21,20
"29","CANTON INDUSTRIAL AREA",0,0,16,22
"30","CARE",1,1,2,3
"31","CARROLL - CAMDEN INDUSTRIAL AREA",1,0,2,8
"32","CARROLLTON RIDGE",10,5,3,15
"33","CEDMONT",0,0,3,2
"34","CEDONIA",0,1,2,2
"35","CENTRAL PARK HEIGHTS",6,6,3,4
"36","CHARLES NORTH",3,5,2,6
"37","CHARLES VILLAGE",2,3,5,4
"38","CHERRY HILL",5,8,9,18
"39","CHESWOLDE",0,1,1,3
"40","CLIFTON PARK",0,1,1,0
"41","COLDSPRING",0,0,1,2
"42","COLDSTREAM HOMESTEAD MONTEBELLO",4,4,1,6
"43","CONCERNED CITIZENS OF FOREST PARK",0,0,1,3
"44","COPPIN HEIGHTS/ASH-CO-EAST",1,1,1,4
"45","CROSS COUNTRY",0,1,3,4
"46","CROSS KEYS",0,0,1,1
"47","CURTIS BAY",1,1,7,3
"48","CYLBURN",1,1,2,2
"49","DOLFIELD",0,2,1,4
"50","DORCHESTER",0,1,1,1
"51","DOWNTOWN",19,17,18,39
"52","DOWNTOWN WEST",1,1,8,3
"53","DRUID HEIGHTS",0,0,1,1
"54","DRUID HILL PARK",4,1,1,2
"55","DUNBAR-BROADWAY",1,6,2,1
"56","EAST BALTIMORE MIDWAY",1,4,6,2
"57","EASTERWOOD",0,3,6,1
"58","EDGEWOOD",2,0,2,1
"59","EDMONDSON VILLAGE",2,0,3,7
"60","EDNOR GARDENS-LAKESIDE",1,1,1,6
"61","ELLWOOD PARK/MONUMENT",3,1,9,3
"62","EVERGREEN LAWN",0,1,1,1
"63","FAIRFIELD AREA",0,3,1,1
"64","FALLSTAFF",1,0,4,4
"65","FEDERAL HILL",2,1,3,6
"66","FELLS POINT",6,9,6,15
"67","FOUR BY FOUR",0,1,1,1
"68","FRANKFORD",8,14,13,16
"69","FRANKLIN SQUARE",4,3,7,5
"70","FRANKLINTOWN ROAD",2,0,0,3
"71","GARWYN OAKS",1,0,1,3
"72","GAY STREET",0,0,3,2
"73","GLEN",2,2,6,1
"74","GLEN OAKS",0,1,1,3
"75","GRACELAND PARK",0,0,4,2
"76","GREEKTOWN",1,0,2,6
"77","GREENMOUNT WEST",0,2,2,3
"78","GREENSPRING",1,2,1,3
"79","GROVE PARK",2,0,2,3
"80","GWYNNS FALLS",1,1,1,0
"81","HAMILTON",2,4,1,2
"82","HAMILTON HILLS",0,2,4,5
"83","HAMPDEN",1,5,15,29
"84","HANLON-LONGWOOD",2,0,1,3
"85","HARBOR EAST",5,0,11,15
"86","HARBOR POINT",1,0,1,3
"87","HARLEM PARK",5,4,9,4
"88","HARWOOD",1,0,0,1
"89","HERITAGE CROSSING",3,0,0,2
"90","HIGHLANDTOWN",0,0,9,9
"91","HILLEN",2,1,0,2
"92","HOES HEIGHTS",0,0,1,2
"93","HOLLINS MARKET",0,3,3,2
"94","HOMELAND",2,1,0,3
"95","HOPKINS BAYVIEW",0,0,1,1
"96","HOWARD PARK",4,0,4,1
"97","HUNTING RIDGE",0,0,3,3
"98","INNER HARBOR",0,5,15,13
"99","IRVINGTON",4,3,1,6
"100","JOHNSTON SQUARE",0,0,7,4
"101","JONESTOWN",1,0,2,2
"102","KERNEWOOD",0,1,1,1
"103","KRESSON",0,3,9,4
"104","LAKE WALKER",0,1,5,7
"105","LAKELAND",5,5,3,1
"106","LANGSTON HUGHES",0,0,1,2
"107","LAURAVILLE",2,0,3,1
"108","LIBERTY SQUARE",0,3,2,3
"109","LITTLE ITALY",0,0,2,3
"110","LOCH RAVEN",2,1,4,7
"111","LUCILLE PARK",0,0,1,2
"112","MADISON PARK",3,0,4,2
"113","MADISON-EASTEND",1,5,7,2
"114","MCELDERRY PARK",2,4,13,13
"115","MEDFIELD",0,1,2,2
"116","MID-GOVANS",0,5,5,3
"117","MID-TOWN BELVEDERE",2,5,5,7
"118","MIDDLE EAST",4,0,10,10
"119","MIDTOWN-EDMONDSON",3,1,2,5
"120","MILTON-MONTFORD",2,3,3,2
"121","MONDAWMIN",3,5,5,5
"122","MORRELL PARK",1,5,7,8
"123","MOSHER",0,2,1,0
"124","MOUNT CLARE",4,3,7,2
"125","MOUNT VERNON",3,1,15,10
"126","MOUNT WASHINGTON",0,1,3,5
"127","NEW NORTHWOOD",0,1,5,1
"128","NORTH HARFORD ROAD",2,1,2,8
"129","NORTHWEST COMMUNITY ACTION",1,0,0,1
"130","O'DONNELL HEIGHTS",1,1,0,0
"131","OAKLEE",0,0,2,1
"132","OLD GOUCHER",1,2,1,5
"133","OLDTOWN",3,2,5,4
"134","OLIVER",2,4,5,3
"135","ORANGEVILLE INDUSTRIAL AREA",0,2,2,2
"136","ORCHARD RIDGE",0,0,2,4
"137","ORIGINAL NORTHWOOD",0,0,1,1
"138","OTTERBEIN",2,0,2,2
"139","PARK CIRCLE",1,2,2,3
"140","PARKLANE",1,1,2,7
"141","PARKSIDE",1,0,1,2
"142","PATTERSON PARK NEIGHBORHOOD",2,2,18,28
"143","PEN LUCY",0,1,3,1
"144","PENN NORTH",0,6,5,5
"145","PENROSE/FAYETTE STREET OUTREACH",3,5,7,10
"146","PERRING LOCH",4,0,0,1
"147","PIMLICO GOOD NEIGHBORS",0,1,1,0
"148","POPPLETON",1,6,7,6
"149","PULASKI INDUSTRIAL AREA",4,5,10,9
"150","RAMBLEWOOD",1,0,2,1
"151","REISTERSTOWN STATION",3,5,1,13
"152","REMINGTON",2,1,4,3
"153","RESERVOIR HILL",2,2,11,13
"154","RIDGELY'S DELIGHT",1,0,5,1
"155","RIVERSIDE",1,6,13,10
"156","ROGNEL HEIGHTS",0,0,1,1
"157","ROLAND PARK",0,0,5,1
"158","ROSEBANK",2,0,0,1
"159","ROSEMONT",0,0,1,2
"160","ROSEMONT HOMEOWNERS/TENANTS",1,1,0,2
"161","SAINT JOSEPHS",2,0,1,3
"162","SANDTOWN-WINCHESTER",2,6,10,4
"163","SETON HILL",1,3,5,2
"164","SHIPLEY HILL",0,4,1,1
"165","SOUTH BALTIMORE",1,1,5,1
"166","STONEWOOD-PENTWOOD-WINSTON",1,0,3,1
"167","TEN HILLS",0,0,2,1
"168","TOWANDA-GRANTLEY",0,0,1,2
"169","TREMONT",1,2,0,0
"170","UNION SQUARE",1,1,3,1
"171","UNIVERSITY OF MARYLAND",2,0,1,9
"172","UPLANDS",2,3,3,4
"173","UPPER FELLS POINT",2,2,10,7
"174","UPTON",4,9,3,7
"175","VIOLETVILLE",2,0,4,3
"176","WAKEFIELD",1,0,0,1
"177","WALBROOK",2,1,0,2
"178","WASHINGTON HILL",1,1,4,4
"179","WASHINGTON VILLAGE/PIGTOWN",3,8,7,16
"180","WAVERLY",1,1,2,2
"181","WEST ARLINGTON",0,1,1,2
"182","WESTFIELD",0,1,2,5
"183","WESTGATE",1,1,3,3
"184","WESTPORT",0,1,1,2
"185","WINCHESTER",0,0,1,2
"186","WINDSOR HILLS",1,2,2,1
"187","WOODBERRY",0,0,1,3
"188","WOODBOURNE HEIGHTS",1,1,1,0
"189","WOODBOURNE-MCCABE",0,1,2,0
"190","WOODMERE",2,0,8,2
"191","WYNDHURST",0,1,2,0
"192","YALE HEIGHTS",1,1,1,1
