"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"1","3/25/2025","Robbery","Outside","Personal weapons","Male","35","Black or African American","Not Hispanic or Latino","1400 RETREAT ST","Western","Penn North",39.313331,-76.641255,"Street","8:40:00",""
"2","4/3/2025","Robbery","Inside","Personal weapons","Male","17","Unknown","Hispanic or Latino","100 KANE ST","Southeast","Hopkins Bayview",39.295404,-76.532903,"Bus/railroad station","7:07:00",""
"3","4/4/2025","Robbery","Inside","Personal weapons","Male","57","Black or African American","Not Hispanic or Latino","3600 PARKSIDE DR","Northeast","Belair-Parkside",39.332192,-76.569657,"Other/residential","1:45:00",""
"4","3/30/2025","Robbery - commercial","Inside","Knife/cutting instrument",NA,"None reported","None reported",NA,"3800 LIBERTY HEIGHTS AVE","Northwest","Callaway-Garrison",39.327034,-76.68115,"Office building","4:40:00",""
"5","4/6/2025","Robbery","Inside","Personal weapons","Male","19","Black or African American","Unknown","10 S CALVERT ST","Central","Downtown",39.289173,-76.612617,"Tavern/night club","3:30:00",""
"6","3/24/2025","Robbery","Inside",NA,"Female","62","White","Hispanic or Latino","2100 W PATAPSCO AVE","Southern","Lakeland",39.251009,-76.644736,"Office building","8:44:00",""
"7","3/24/2025","Robbery - commercial","Inside",NA,NA,"None reported","None reported",NA,"2100 W PATAPSCO AVE","Southern","Lakeland",39.251009,-76.644736,"Office building","8:44:00",""
"8","4/4/2025","Robbery","Outside","Personal weapons","Male","48","None reported","Hispanic or Latino","300 S MT OLIVET LANE","Southwest","Carroll-South Hilton",39.265956,-76.656612,"Street","9:00:00",""
"9","4/6/2025","Robbery","Outside","Personal weapons","Male","58","Black or African American","Not Hispanic or Latino","3500 DOLFIELD AVE","Northwest","Ashburton",39.334639,-76.674266,"Street","8:45:00",""
"10","4/6/2025","Robbery","Outside","Handgun","Female","25","White","Unknown","500 S ELLWOOD AVE","Southeast","Canton",39.286335,-76.573021,"Street","4:27:00",""
"11","4/6/2025","Robbery","Outside","Handgun","Female","25","Asian","Not Hispanic or Latino","500 S ELLWOOD AVE","Southeast","Canton",39.286335,-76.573021,"Street","4:27:00",""
"12","3/24/2025","Robbery","Outside","Personal weapons","Male","63","Black or African American","Unknown","4400 FALLS RD","Northern","Medfield",39.342637,-76.640109,"Gas station","4:01:00",""
"13","3/26/2025","Robbery","Inside","Asphyxiation","Female","29","Black or African American","Not Hispanic or Latino","1000 CATHEDRAL ST","Central","Mid-Town Belvedere",39.301535,-76.617706,"Other/residential","10:00:00",""
"14","3/30/2025","Robbery","Inside","Personal weapons","Female","24","Native Hawaiian or other Pacific Islander","Hispanic or Latino","1200 JAMES ST","Southern","Washington Village/Pigtown",39.2822,-76.635428,"Other/residential","7:30:00",""
"15","3/28/2025","Robbery - commercial","Outside","Unknown",NA,"None reported","None reported",NA,"4100 GARRISON BLVD","Northwest","Dolfield",39.335114,-76.684191,"Street","8:02:00",""
"16","3/28/2025","Robbery - carjacking","Outside","Unknown","Female","28","White","Hispanic or Latino","4100 GARRISON BLVD","Northwest","Dolfield",39.335114,-76.684191,"Street","8:02:00",""
"17","4/2/2025","Robbery - commercial","Inside",NA,NA,"None reported","None reported",NA,"5400 RADECKE AVE","Northeast","Frankford",39.329156,-76.541619,"Office building","1:55:00",""
"18","4/2/2025","Robbery","Inside",NA,"Male","44","Native Hawaiian or other Pacific Islander","Not Hispanic or Latino","5400 RADECKE AVE","Northeast","Frankford",39.329156,-76.541619,"Office building","1:55:00",""
"19","3/28/2025","Robbery","Outside","Personal weapons","Male","29","None reported","Hispanic or Latino","900 N MARTIN LUTHER KING JR BLVD","Western","Madison Park",39.300611,-76.621894,"Street","9:10:00",""
"20","3/25/2025","Robbery","Inside","Personal weapons","Male","35","American Indian or Alaska Native","Not Hispanic or Latino","4100 FALLS RD","Northern","Medfield",39.337646,-76.63746,"Restaurant","12:35:00",""
"21","3/25/2025","Robbery - commercial","Inside","Personal weapons",NA,"None reported","None reported",NA,"4100 FALLS RD","Northern","Medfield",39.337646,-76.63746,"Restaurant","12:35:00",""
"22","3/29/2025","Robbery","Inside","Personal weapons","Male","54","Black or African American","Unknown","6600 BELAIR RD","Northeast","Cedmont",39.354481,-76.530905,"Other/residential","6:28:00",""
"23","3/29/2025","Robbery - commercial","Inside","Handgun",NA,"None reported","None reported",NA,"6600 BELAIR RD","Northeast","Cedmont",39.354481,-76.530905,"Other/residential","6:28:00",""
"24","3/24/2025","Robbery","Outside","Personal weapons","Male","26","Black or African American","Not Hispanic or Latino","800 ORLEANS ST","Central","Penn-Fallsway",39.294725,-76.607892,"Street","6:00:00",""
"25","4/2/2025","Robbery","Inside","Blunt object","Male","52","White","Not Hispanic or Latino","600 LIGHT ST","Southern","Otterbein",39.282147,-76.613177,"Other/residential","2:30:00",""
"26","3/25/2025","Robbery","Inside","Personal weapons","Male","12","None reported","Hispanic or Latino","700 S ELLWOOD AVE","Southeast","Canton",39.28219,-76.574769,"Other/residential","12:23:00",""
"27","4/1/2025","Robbery","Outside","Personal weapons","Male","61","None reported","Unknown","2800 EDMONDSON AVE","Western","Mosher",39.294525,-76.663027,"Street","11:14:00",""
"28","4/5/2025","Robbery","Outside","Firearm","Male","19","Black or African American","Unknown","3200 KENTUCKY AVE","Eastern","Belair-Edison",39.322499,-76.569,"Street","4:00:00",""
"29","4/2/2025","Robbery","Outside","Firearm","Female","34","White","Not Hispanic or Latino","500 S BOULDIN ST","Southeast","Canton",39.286056,-76.570786,"Street","1:25:00",""
"30","4/4/2025","Robbery","Outside","Handgun","Male","38","Black or African American","Not Hispanic or Latino","600 N PACA ST","Central","Seton Hill",39.295798,-76.622718,"Street","5:40:00",""
"31","4/4/2025","Robbery","Outside",NA,"Female","38","None reported","Unknown","1900 EASTERN AVE","Central","Upper Fells Point",39.285781,-76.59002,"Street","5:58:00",""
"32","4/4/2025","Robbery","Outside",NA,"Male","35","White","Not Hispanic or Latino","1900 EASTERN AVE","Central","Upper Fells Point",39.285781,-76.59002,"Street","5:58:00",""
"33","4/4/2025","Robbery","Outside",NA,"Female","45","White","Not Hispanic or Latino","1900 EASTERN AVE","Central","Upper Fells Point",39.285781,-76.59002,"Street","5:58:00",""
"34","4/2/2025","Robbery - carjacking","Outside","Handgun","Male","52","White","Not Hispanic or Latino","2300 HARFORD RD","Eastern","East Baltimore Midway",39.316312,-76.595876,"Gas station","6:15:00",""
"35","4/3/2025","Robbery","Outside","Handgun","Female","35","None reported","Not Hispanic or Latino","700 S ROBINSON ST","Southeast","Canton",39.284028,-76.572225,"Street","1:15:00",""
"36","3/30/2025","Robbery","Outside","Handgun","Male","44","Black or African American","Not Hispanic or Latino","1000 N BROADWAY","Central","Gay Street",39.30192,-76.594702,"Street","3:00:00",""
"37","3/29/2025","Robbery","Outside","Personal weapons","Female","20","Asian","Not Hispanic or Latino","100 S CHARLES ST","Central","Downtown West",39.28766,-76.615051,"Street","3:50:00",""
"38","3/30/2025","Robbery","Inside","Personal weapons","Female","32","Black or African American","Not Hispanic or Latino","1600 N BOND ST","Eastern","Oliver",39.308547,-76.596772,"Other/residential","2:00:00",""
"39","3/29/2025","Robbery","Outside","Personal weapons","Male","27","Black or African American","Not Hispanic or Latino","8 N HOWARD ST","Central","Downtown",39.289842,-76.61953,"Street","9:42:00",""
"40","4/4/2025","Robbery","Outside","Blunt object","Female","53","Black or African American","Unknown","1800 N WOODYEAR ST","Western","Sandtown-Winchester",39.309291,-76.644518,"Street","3:00:00",""
"41","4/6/2025","Robbery","Inside","Firearm","Female","36","Black or African American","Not Hispanic or Latino","10 S CATHERINE ST","Southwest","Shipley Hill",39.287069,-76.656199,"Other/residential","10:30:00",""
"42","4/6/2025","Robbery","Inside","Personal weapons","Female","25","White","Not Hispanic or Latino","1700 THAMES ST","Central","Fells Point",39.281892,-76.59264,"Tavern/night club","4:35:00",""
"43","4/6/2025","Robbery","Inside","Personal weapons","Female","24","White","Not Hispanic or Latino","1700 THAMES ST","Central","Fells Point",39.281892,-76.59264,"Tavern/night club","4:35:00",""
"44","4/6/2025","Robbery","Outside","Handgun","Male","64","Black or African American","Not Hispanic or Latino","2400 BELAIR RD","Eastern","Belair-Edison",39.317386,-76.578453,"Shed/garage","4:25:00",""
"45","3/31/2025","Robbery","Inside","Firearm","Male","15","Black or African American","Not Hispanic or Latino","2200 PRESSTMAN ST","Western","Coppin Heights/Ash-Co-East",39.305009,-76.652507,"School","6:50:00",""
"46","4/1/2025","Robbery - commercial","Inside","Handgun",NA,"None reported","None reported",NA,"1500 BANK ST","Central","Fells Point",39.286409,-76.596754,"Convenience store","12:57:00",""
"47","4/1/2025","Robbery","Inside","Personal weapons","Male","23","Asian","Unknown","2000 EDMONDSON AVE","Western","Midtown-Edmondson",39.295126,-76.649672,"Specialty store","12:58:00",""
"48","4/1/2025","Robbery - commercial","Inside","Personal weapons",NA,"None reported","None reported",NA,"2000 EDMONDSON AVE","Western","Midtown-Edmondson",39.295126,-76.649672,"Specialty store","12:58:00",""
"49","3/28/2025","Robbery","Outside","Personal weapons","Male","36","Black or African American","Not Hispanic or Latino","4100 ARDLEY AVE","Eastern","Belair-Edison",39.31749,-76.556887,"Street","2:20:00",""
"50","3/24/2025","Robbery - carjacking","Outside","Firearm","Male","28","White","Hispanic or Latino","2600 AISQUITH ST","Eastern","Coldstream Homestead Montebello",39.318859,-76.596644,"Street","12:43:00",""
"51","3/24/2025","Robbery - commercial","Outside","Firearm",NA,"None reported","None reported",NA,"2600 AISQUITH ST","Eastern","Coldstream Homestead Montebello",39.318859,-76.596644,"Street","12:43:00",""
"52","3/23/2025","Robbery","Outside","Handgun","Male","16","Black or African American","Not Hispanic or Latino","3600 GLEN AVE","Northwest","Glen",39.355775,-76.688213,"Street","9:30:00",""
"53","4/6/2025","Robbery","Inside","Personal weapons","Female","59","White","Not Hispanic or Latino","6900 HARFORD RD","Northeast","North Harford Road",39.36618,-76.549534,"Office building","4:46:00",""
